test,debit_moyen,debit_median,debit_max,debit_min,ecart_type,cv,q25,q75,nombre_mesures,duree_totale,paquets_totaux
1000,1810.48128342246,0.0,5976.0,0.0,2703.5511739038016,149.32776155482364,0.0,5960.0,187.0,187.0,342826.0
5000,2567.0434782608695,0.0,17368.0,0.0,4465.799009798081,173.96662922217382,0.0,3817.5,184.0,184.0,473312.0
25000,2007.4093264248704,0.0,14904.0,0.0,3673.56192289866,183.00014225006876,0.0,2948.0,193.0,193.0,390962.0
