rate_pps,packets_total,runtime_sec,debit_avg_pps,latency_avg_usecs,latency_max_usecs,cpu_user_usec,cpu_sys_usec,cpu_total_sec,cpu_load_pct,cpu_time_per_packet_usec,cpu_user_sys_ratio,throughput_efficiency_pct,packet_loss_pct,packets_per_cpu_sec,packets_per_runtime_sec,cpu_efficiency_ratio,detection_analyzed,detection_efficiency_pct,detection_pps,port_scan_packets,port_scan_trackers,stream_flows,flows_per_sec,packets_per_flow,stream_total_prunes,stream_idle_prunes,arp_spoof_packets,binder_raw_packets,binder_new_flows,binder_inspects
1000,4277,63,67.89,0.0,0,83129,83158,0.166287,0.26394761904761904,38.87935468786532,0.99965126626422,6.789000000000001,93.211,25720.59150745398,67.88888888888889,378.8630500279637,4402,6.987301587301588,69.87301587301587,4252,11,15,0.23809523809523808,293.46666666666664,0,0,25,4221,15,4236
5000,48584,63,771.17,0.0,0,290178,969686,1.259864,1.999784126984127,25.931664745595256,0.2992494477593778,15.423399999999997,84.5766,38562.89250268283,771.1746031746031,50.00539740797419,48710,15.463492063492062,773.1746031746031,48559,11,16,0.25396825396825395,3044.375,0,0,25,48517,16,48533
25000,37136,63,589.46,0.0,0,545248,417062,0.96231,1.5274761904761907,25.913130116329167,1.3073547817830442,2.3578400000000004,97.64216,38590.475002857704,589.4603174603175,65.46746890295226,37251,2.3651428571428568,591.2857142857143,37095,7,13,0.20634920634920634,2865.4615384615386,0,0,29,37074,13,37087
