rate_pps,packets_total,runtime_sec,debit_avg_pps,latency_avg_usecs,latency_max_usecs,cpu_user_usec,cpu_sys_usec,cpu_total_sec,cpu_load_pct,cpu_time_per_packet_usec,cpu_user_sys_ratio,throughput_efficiency_pct,packet_loss_pct,packets_per_cpu_sec,packets_per_runtime_sec,cpu_efficiency_ratio,detection_analyzed,detection_efficiency_pct,detection_pps,port_scan_packets,port_scan_trackers,stream_flows,flows_per_sec,packets_per_flow,stream_total_prunes,stream_idle_prunes,arp_spoof_packets,binder_raw_packets,binder_new_flows,binder_inspects
1000,69345,303,228.86,0.0,0,1195790,1069863,2.265653,0.7477402640264026,32.67218977575889,1.1177038555403822,22.886,77.114,30607.070014693338,228.86138613861385,133.73627823854758,69682,22.997359735973596,229.97359735973598,403,74,81,0.26732673267326734,860.2716049382716,1,1,68942,69279,81,69360
5000,62326,301,207.06,0.0,0,890460,1127106,2.017566,0.670287707641196,32.37117735776401,0.790041043167191,4.1411999999999995,95.8588,30891.67838871194,207.06312292358805,149.18966715339175,62660,4.163455149501661,208.17275747508305,1117,236,300,0.9966777408637874,208.86666666666667,2,2,61209,61543,300,61843
25000,69545,303,229.52,0.0,0,974415,1270970,2.245385,0.7410511551155117,32.28679272413545,0.7666703384029521,0.9180800000000001,99.08192,30972.41675703721,229.5214521452145,134.9434506777234,69882,0.9225346534653466,230.63366336633663,1120,215,250,0.8250825082508251,279.528,1,1,68425,68762,250,69012
