rate_pps,packets_total,runtime_sec,debit_avg_pps,latency_avg_usecs,latency_max_usecs,cpu_user_usec,cpu_sys_usec,cpu_total_sec,cpu_load_pct,cpu_time_per_packet_usec,cpu_user_sys_ratio,throughput_efficiency_pct,packet_loss_pct,packets_per_cpu_sec,packets_per_runtime_sec,cpu_efficiency_ratio,detection_analyzed,detection_efficiency_pct,detection_pps,port_scan_packets,port_scan_trackers,stream_flows,flows_per_sec,packets_per_flow,stream_total_prunes,stream_idle_prunes,arp_spoof_packets,binder_raw_packets,binder_new_flows,binder_inspects
1000,4103,62,66.18,0.0,0,62194,143316,0.20551,0.3314677419354839,50.08774067755301,0.4339641072873929,6.618,93.382,19964.96520850567,66.1774193548387,301.6884823122963,4226,6.816129032258064,68.16129032258064,4072,14,19,0.3064516129032258,222.42105263157896,0,0,31,4030,19,4049
5000,28913,62,466.34,0.0,0,359657,678120,1.037777,1.673833870967742,35.89309307232041,0.5303736801746004,9.326799999999999,90.67320000000001,27860.51338582374,466.33870967741933,59.743085460556564,29037,9.366774193548387,468.33870967741933,28877,5,2,0.03225806451612903,14518.5,0,0,36,28896,2,28898
25000,23171,59,392.73,0.0,0,491956,358795,0.850751,1.4419508474576272,36.71619697035087,1.371133934419376,1.5709199999999999,98.42908,27235.936249266822,392.728813559322,69.35049150691565,23289,1.578915254237288,394.728813559322,23148,7,4,0.06779661016949153,5822.25,0,0,23,23153,4,23157
