rate_pps,packets_total,runtime_sec,debit_avg_pps,latency_avg_usecs,latency_max_usecs,cpu_user_usec,cpu_sys_usec,cpu_total_sec,cpu_load_pct,cpu_time_per_packet_usec,cpu_user_sys_ratio,throughput_efficiency_pct,packet_loss_pct,packets_per_cpu_sec,packets_per_runtime_sec,cpu_efficiency_ratio,detection_analyzed,detection_efficiency_pct,detection_pps,port_scan_packets,port_scan_trackers,stream_flows,flows_per_sec,packets_per_flow,stream_total_prunes,stream_idle_prunes,arp_spoof_packets,binder_raw_packets,binder_new_flows,binder_inspects
1000,7478,59,126.75,0.0,0,68939,152492,0.221431,0.37530677966101694,29.610992243915486,0.45208273220890277,12.675,87.325,33771.24250895313,126.7457627118644,266.4486905627487,7595,12.872881355932202,128.72881355932202,7445,14,4,0.06779661016949153,1898.75,0,0,33,7590,4,7594
5000,45311,63,719.22,0.0,0,378731,840733,1.219464,1.9356571428571432,26.91319988523758,0.4504771431596,14.3844,85.6156,37156.48842442253,719.2222222222222,51.66204168388735,45437,14.424444444444445,721.2222222222222,45286,8,2,0.031746031746031744,22718.5,0,0,25,45431,2,45433
25000,43474,61,712.69,0.0,0,512365,577064,1.089429,1.7859491803278689,25.059322813635735,0.8878824532460871,2.85076,97.14924,39905.308193558274,712.688524590164,55.992634673760286,43597,2.8588196721311476,714.7049180327868,43439,6,1,0.01639344262295082,43597.0,0,0,35,43596,1,43597
